type,rating,effects,flavor,description,price_(€)
sativa,5.0,"Talkative,Uplifted,Energetic,Euphoric,Happy","Minty,Lemon,Apricot","Golden Tiger is a resinous flower created from two Thai strains and two separate Malawi cuts. Bred by Ace Seeds, this pure sativa flower is a complex blend of Koh Chang Thai and Hmong Thai crossed with Malawi and 3rd Generation Malawi. This powerful sativa is not for beginners, as it offers long-lasting stimulating effects often with a potent psychedelic bent. With a terpene profile that is bright with notes of floral spice and tart lemon, its vigorous physical and mental effects make this a sativa of the highest caliber. This strain’s long sativa lineage comes with a long 11 to 14 week flowering time.",32.0
indica,5.0,"Uplifted,Creative,Energetic,Giggly,Happy",Citrus,"California Hash Plant is a combination of two sister strains from the same Hash Plant mother. Offering a spicy, floral aroma, this endogamic cross weighs heavily on the limbs and mind, dissolving anxiety and encouraging rest. Known for its mold resistance and indoor or outdoor adaptability, California Hash Plant is a solid choice for experienced growers seeking out a potent cannabis variety. Enjoy California Hash Plant near the end of the day as its sedative effects can give lead boots to the consumer’s motivation.  ",29.0
hybrid,4.9,"Happy,Relaxed,Sleepy,Euphoric,Focused","Orange,Citrus,Sweet","Orange Hill Special is a select cross from the Orange Skunk family. Bred by Dutch Passion Seed Company, Orange Hill Special was developed over six generations by blending the genetics from Orange Bud and California Orange into a balanced hybrid. Known for its bright orange pistils and citrus flavors, Orange Hill Special triggers a cerebral buzz that is equalized by relaxing body effects.",29.95
sativa,5.0,"Talkative,Giggly,Happy,Hungry,Relaxed","Earthy,Woody,Tree Fruit","Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. Acid Dough has an approximate 65-70 day flowering time and colorful foliage. This strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup. ",21.0
sativa,5.0,"Euphoric, Relaxed","Spicy/Herbal, Sweet","Amnesia Ganja Haze is another award-winning strain from Sumo Seeds. The sativa is a genetic combination of the famous Amnesia Haze (a classic out of Amsterdam) and Silver Buddha Haze. This new twist on an old favorite garnered Sumo Seeds a 1st place win at the 2017 Semana y Copa Cannabica for Best Sativa, 1st prize for Best Indoor and Premio Especial Del Publico (Best Overall at the 2017 Il Castello Cannabis Cup), as well as 2nd place at the 2017 San Canuto Cup on the island of Fuerteventura. Exhibiting a strong Haze aroma of sour citrus and spiced tropical fruit, Amnesia Ganja Haze delivers a THC and terpene-heavy profile. This strain’s cerebral effects make it enjoyable for use throughout the day.      ",23.0
sativa,5.0,"Uplifted,Energetic,Euphoric,Happy,Talkative","Ammonia,Diesel,Sweet","Congo by Ace Seeds is a sativa-dominant cross of two Congolese strains, Bangi Congo x Congo #3 and Pakistan Chitral Kush. This genetic combination offers consumers a clean, smile-inducing high that is brimming with positive energy. The mixture of stimulating sativa genetics and heady Kush genetics creates a blend of euphoric introspection and vigor. Enjoy Congo throughout the day to improve mood and stave off lethargy and depression.  ",25.5
sativa,4.9,"Relaxed,Uplifted,Creative,Focused,Talkative","Sweet,Earthy,Tropical","Thunderstruck is a powerful rock ‘n’ roll themed CBD strain without the big hair. Named after the AC/DC song of the same name, you might have guessed that Thunderstruck is the genetic cross of two high-CBD ACDC phenotypes. And just when you thought things couldn't get more metal, Thunderstruck offers consumers a 12:1 CBD/THC ratio that can help ease nausea, abate seizure activity, and reduce inflammation all while keeping the consumer clear headed. The aroma and flavors of Thunderstruck are grassy and subtle. Enjoy this sativa-dominant cross if you are looking for a quality medicinal strain with little to no psychoactive effects.     ",23.0
sativa,4.8,"Talkative,Uplifted,Relaxed,Euphoric,Hungry","Tropical,Mango,Pine","Shining Silver Haze is Royal Queen Seeds’ version of Super Silver Haze. Created through a ceaseless pursuit of quality Haze genetics, Shining Silver Haze blends classic early 70’s Haze effects into a modern, high-potency, heavy yielding strain. The onset of this strain is primarily cerebral, offering an uplifting buzz that takes the edge of repetitive tasks or chores. The bouquet is sweet and spiced, offering traditional Haze notes overlaid with a hint of pepper. Enjoy this sativa-dominant strain throughout the day to jumpstart euphoria and enhance mood.   ",23.0
indica,5.0,"Sleepy,Aroused,Tingly,Relaxed,Uplifted","Diesel,Berry,Earthy","Hammerhead is a pungent indica-dominant strain that develops dense, trichome-coated buds with a small boost of CBD. These physical attributes speak to the strain’s White Rhino and Medicine Man genetics, which also lend Hammerhead effects of sleep-inducing, full-body relaxation. Its buds are dense and deep green with a showing of light amber hairs. Hammerhead exhibits notes of fruit, honey, and pungent dankness, making it as appetizing as it is effective.  ",30.0
indica,5.0,"Creative,Relaxed,Sleepy,Talkative,Tingly","Earthy,Pungent,Cheese","Washing Machine by Ripper Seeds is a funky cut created by crossing Exodus Cheese with Bubba Kush. It emits a delicate aroma of moist earth and anise, with effects that lay heavily on the body. This strain’s stout physical effects are designed for heavyweight cannabis consumers and may overwhelm unseasoned smokers. It has a snappy 60-65 day flowering time, and the breeder recommends truncating its vegetative cycle due to its incredible desire to stretch. Washing Machine won 3rd Prize for Outdoor Flower at the 2017 THC Cup. ",18.0
